384well,335,96well,1,8
384well,336,96well,1,5
384well,337,96well,1,6
384well,338,96well,1,7
384well,339,96well,1,6
384well,340,96well,1,6
384well,341,96well,1,5
384well,342,96well,1,5
384well,343,96well,1,6
384well,344,96well,1,7
384well,345,96well,1,6
384well,346,96well,1,7
384well,347,96well,1,6
384well,348,96well,1,6
384well,349,96well,1,5
384well,350,96well,1,5
384well,351,96well,1,6
384well,352,96well,1,6
384well,353,96well,1,7
384well,354,96well,1,6
384well,355,96well,1,6
384well,356,96well,1,6
384well,357,96well,1,6
384well,358,96well,1,6
384well,359,96well,1,6
384well,360,96well,1,5
384well,361,96well,1,6
384well,362,96well,1,5
384well,363,96well,1,6
384well,364,96well,1,6
384well,365,96well,1,6
384well,366,96well,1,6
384well,367,96well,1,5
384well,368,96well,1,7
384well,369,96well,1,6
384well,370,96well,1,6
384well,371,96well,1,6
384well,372,96well,1,5
384well,373,96well,1,5
384well,374,96well,1,9
384well,375,96well,1,6
384well,376,96well,1,5
384well,377,96well,1,6
384well,378,96well,1,6
384well,379,96well,1,5
384well,380,96well,1,5
